Name,Address,Phone,Category,Area,Source
Central Ladprao,"2024/24-25 Phahon Yothin Rd, Chatuchak, Bangkok 10900",02 270 1234,Shopping,Lat Phrao,central.co.th
Union Mall,"149/9-10 Kamphaeng Phet 2 Rd, Chatuchak, Bangkok 10900",02 255 3725,Shopping,Lat Phrao,unionmall.co.th
The Crystal SB Ratchaprasong,"999/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 251 1234,Shopping,Siam,
EmSphere,"882/1 Sukhumvit Rd, Watthana, Bangkok 10110",02 022 0666,Shopping,Sukhumvit,emsphere.co.th
Little India Bangkok,"117-119 Phahurat Rd, Phra Nakhon, Bangkok 10200",02 221 7890,Shopping,Phra Nakhon,
Tha Phrachan Market,"Tha Phrachan Rd, Phra Nakhon, Bangkok 10200",02 222 4567,Shopping,Phra Nakhon,
JJ Green Market,"Kamphaeng Phet 2 Rd, Chatuchak, Bangkok 10900",02 255 8900,Shopping,Lat Phrao,
Ladprao Hospital,"348 Ladprao Rd, Chatuchak, Bangkok 10900",02 539 1234,Hospital,Lat Phrao,ladpraohospital.com
Piyavate Hospital,"332/2 Ladprao Rd, Chatuchak, Bangkok 10900",02 530 4567,Hospital,Lat Phrao,piyavate.com
Rama 9 Hospital,"20/1 Rama IX Rd, Huai Khwang, Bangkok 10320",02 306 7890,Hospital,Huai Khwang,rama9hospital.com
Vibhavadi Hospital,"90 Vibhavadi Rangsit Rd, Chatuchak, Bangkok 10900",02 279 1234,Hospital,Lat Phrao,vibhavadi.com
Phra Ram 9 Hospital,"113/1 Rama IX Rd, Huai Khwang, Bangkok 10320",02 265 5678,Hospital,Huai Khwang,phraram9hospital.com
Vejthani Hospital,"2 Sukhumvit Soi 3, Wattana, Bangkok 10110",02 066 8888,Hospital,Sukhumvit,vejthani.com
Bangkok Christian Hospital,"124 Silom Rd, Bang Rak, Bangkok 10500",02 632 4567,Hospital,Sathorn,bangkokchristianhospital.org
Saint Louis Hospital,"26/1 Sathorn Rd, Bangkok 10120",02 279 6789,Hospital,Sathorn,stlouis-hospital.com
Let's Relax Spa Silom,"128/1-2 Silom Rd, Bang Rak, Bangkok 10500",02 632 4567,Spa/Wellness,Sathorn,letsrelaxspa.com
Health Land Spa Rama 9,"88/9 Rama IX Rd, Huai Khwang, Bangkok 10320",02 265 1234,Spa/Wellness,Huai Khwang,healthlandspa.com
Oasis Spa Sukhumvit Soi 24,"24/1 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 5678,Spa/Wellness,Sukhumvit,oasisspa.net
Divana Spa Sathorn,"55/1 Sathorn Rd, Bangkok 10120",02 287 1234,Spa/Wellness,Sathorn,divana.co.th
Park Hyatt Bangkok,"27/1 South Sathorn Rd, Yannawa, Bangkok 10120",02 129 9300,Hotel,Sathorn,parkhyattbangkok.com
Baiyoke Tower Hotel,"222 Ratchaprarop Rd, Ratchathewi, Bangkok 10400",02 644 1234,Hotel,Ratchada,baiyokehotel.com
Grande Centre Point Hotel Ratchadamri,"117/1-2 Ratchadamri Rd, Pathum Wan, Bangkok 10330",02 265 4567,Hotel,Siam,grandehotels.com
Pathumwan Princess Hotel,"888/22 Rama I Rd, Pathum Wan, Bangkok 10330",02 215 6789,Hotel,Siam,pathumwanprincess.com
Novotel Bangkok on Siam Square,"9/9 Siam Square Soi 9, Pathum Wan, Bangkok 10330",02 215 5678,Hotel,Siam,novotel.com
Pullman Bangkok King Power,"8/2 Rangnam Rd, Ratchathewi, Bangkok 10400",02 642 1234,Hotel,Ratchada,pullmanbangkok.com
Furama Silom,"140/3-5 Silom Rd, Bang Rak, Bangkok 10500",02 632 8901,Hotel,Sathorn,furamabangkok.com
The Berkeley Hotel Prasimitr,"25/4 Sukhumvit Soi 57, Watthana, Bangkok 10110",02 392 2345,Hotel,Sukhumvit,berkeleyhotelprasimitr.com
Dusit Thani Bangkok,"999/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 679 1234,Hotel,Siam,dusit.com
The Landmark Bangkok,"138 Sukhumvit Rd, Klong Toei, Bangkok 10110",02 246 5678,Hotel,Sukhumvit,landmarkbangkok.com
Sukosol Boutique Hotel,"7/1 Sukhumvit Soi 11, Klong Toei, Bangkok 10110",02 252 8901,Hotel,Sukhumvit,sukosolboutique.com
Bangkok Marriott Marquis Queen Park,"515/5 Rama IX Rd, Huai Khwang, Bangkok 10320",02 309 4567,Hotel,Huai Khwang,marriott.com
The Quarter Rama 9,"27/1 Rama IX Rd, Huai Khwang, Bangkok 10320",02 265 7890,Hotel,Huai Khwang,
The Quarter Ladprao,"184/8 Ladprao Rd, Chatuchak, Bangkok 10900",02 539 1234,Hotel,Lat Phrao,
Yen Ta Fried Noodles Yaowarat,"283-285 Yaowarat Rd, Samran Rat, Phra Nakhon, Bangkok 10100",02 223 4567,Restaurant,Phra Nakhon,
T&K Seafood Restaurant Yaowarat,"279-281 Yaowarat Rd, Samran Rat, Phra Nakhon, Bangkok 10100",02 222 7890,Restaurant,Phra Nakhon,
Ramen Banhu,"99/9 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 4567,Restaurant,Sukhumvit,
Mee Ton,"118/2 Sukhumvit Soi 38, Klong Toei, Bangkok 10110",02 258 5678,Restaurant,Sukhumvit,
Chok Dee Thai Restaurant,"88/1 Silom Rd, Bang Rak, Bangkok 10500",02 632 7890,Restaurant,Sathorn,
Savoey Restaurant Silom,"3/2 Silom Rd, Bang Rak, Bangkok 10500",02 237 1234,Restaurant,Sathorn,savoey.co.th
Pizzeria Marco Polo Silom,"55/1 Silom Rd, Bang Rak, Bangkok 10500",02 632 3456,Restaurant,Sathorn,
Mango Tango Bangkok,"222/1-2 Sukhumvit Soi 22, Klong Toei, Bangkok 10110",02 258 1234,Restaurant,Sukhumvit,mangotango.co.th
After You Dessert Cafe,"199/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 610 3456,Cafe,Siam,afteryou.co.th
Uncle T Cafe,"105/1 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 7890,Cafe,Sukhumvit,
Factory Coffee,"49/2 Sukhumvit Soi 26, Klong Toei, Bangkok 10110",02 664 2345,Cafe,Sukhumvit,factorycoffee.co
Cocoa Beans,"88/9 Sukhumvit Soi 39, Watthana, Bangkok 10110",02 258 9012,Cafe,Sukhumvit,
43% Butter,"126/3 Sukhumvit Soi 24, Klong Toei, Bangkok 10110",02 258 3456,Cafe,Sukhumvit,
Cafe Deu Sirin,"15/1 Siam Square Soi 3, Pathum Wan, Bangkok 10330",02 215 6789,Cafe,Siam,
Drip Tea Bangkok,"167/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 610 4567,Cafe,Siam,driptea.com
Locker Room Cafe Ladprao,"115/1 Ladprao Rd, Chatuchak, Bangkok 10900",02 539 7890,Cafe,Lat Phrao,
StarDew Ladprao,"245/1 Phahon Yothin Rd, Chatuchak, Bangkok 10900",02 270 1234,Cafe,Lat Phrao,
AIS Service Center Ladprao,"104/2 Ladprao Rd, Chatuchak, Bangkok 10900",02 539 4567,Professional,Lat Phrao,ais.co.th
DTAC Service Center Rama 9,"107/1 Rama IX Rd, Huai Khwang, Bangkok 10320",02 265 1234,Professional,Huai Khwang,dtac.co.th
TrueMove H Center Ladprao,"116/1 Phahon Yothin Rd, Chatuchak, Bangkok 10900",02 270 5678,Professional,Lat Phrao,truemove.com
TrueMove H Center Rama 9,"115/9 Rama IX Rd, Huai Khwang, Bangkok 10320",02 265 8901,Professional,Huai Khwang,truemove.com
AIS Experience Store Siam,"991/9 Rama I Rd, Pathum Wan, Bangkok 10330",02 610 2345,Professional,Siam,ais.co.th
National Telecom Office,"37/1 Rama IV Rd, Silom, Bangkok 10500",02 237 8901,Professional,Sathorn,ntt.co.th
Thai Airways International,"89 Vibhavadi Rangsit Rd, Chatuchak, Bangkok 10900",02 535 1234,Professional,Lat Phrao,thaiairways.com
Bangkok Airways,"555/1 Vibhavadi Rangsit Rd, Chatuchak, Bangkok 10900",02 535 4567,Professional,Lat Phrao,bangkokair.com
Thai Post Ladprao,"103/3 Phahon Yothin Rd, Chatuchak, Bangkok 10900",02 270 8901,Professional,Lat Phrao,thailandpost.com
Lazada Express Ladprao,"201/4 Ladprao Rd, Chatuchak, Bangkok 10900",02 539 2345,Professional,Lat Phrao,lazada.co.th
Shopee Express Rama 9,"104/3 Rama IX Rd, Huai Khwang, Bangkok 10320",02 265 4567,Professional,Huai Khwang,shopee.co.th
Kerry Express Ladprao,"98/3 Phahon Yothin Rd, Chatuchak, Bangkok 10900",02 270 5678,Professional,Lat Phrao,kerryexpress.com
Flash Express Ladprao,"112/9 Ladprao Rd, Chatuchak, Bangkok 10900",02 539 6789,Professional,Lat Phrao,flashexpress.com
Baanton Yên Táwar,"283-285 Yaowarat Rd, Samran Rat, Phra Nakhon, Bangkok 10100",02 223 4567,Restaurant,Yaowarat,
